id,category,subcategory,region,language,user_question,bot_answer,source,tags,created_at
BFP-00001,Fire Prevention,Household,Region VII,en,Can I reduce fire risks at home?,"Declutter, maintain wiring, keep heat sources clear, and store fuels safely. Create a checklist and review monthly. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'household', 'fire prevention', 'Region VII']",2025-10-09T04:57:51.684692Z
BFP-00001,Fire Prevention,Household,Region VII,en,Help reduce fire risks at home right now,"Declutter, maintain wiring, keep heat sources clear, and store fuels safely. Create a checklist and review monthly. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'household', 'fire prevention', 'Region VII']",2025-10-09T04:57:51.684692Z
BFP-00001,Fire Prevention,Household,Region VII,en,reduce fire risks home,"Declutter, maintain wiring, keep heat sources clear, and store fuels safely. Create a checklist and review monthly. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'household', 'fire prevention', 'Region VII']",2025-10-09T04:57:51.684692Z
BFP-00001,Fire Prevention,Household,Region VII,en,can i reduce fire risks at home,"Declutter, maintain wiring, keep heat sources clear, and store fuels safely. Create a checklist and review monthly. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'household', 'fire prevention', 'Region VII']",2025-10-09T04:57:51.684692Z
BFP-00001,Fire Prevention,Household,Region VII,en,how reduce fire risks at home pls,"Declutter, maintain wiring, keep heat sources clear, and store fuels safely. Create a checklist and review monthly. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'household', 'fire prevention', 'Region VII']",2025-10-09T04:57:51.684692Z
BFP-00002,Emergency Response,Aftermath,Region III,en,What is the best way to respond when a small fire starts at night?,"Alert everyone, evacuate along your plan, call 911/BFP, and only attempt a quick extinguisher use if trained and the exit is behind you. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'aftermath', 'emergency response', 'Region III']",2025-10-09T04:57:51.684706Z
BFP-00002,Emergency Response,Aftermath,Region III,en,Help respond when a small fire starts at night!!!,"Alert everyone, evacuate along your plan, call 911/BFP, and only attempt a quick extinguisher use if trained and the exit is behind you. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'aftermath', 'emergency response', 'Region III']",2025-10-09T04:57:51.684706Z
BFP-00002,Emergency Response,Aftermath,Region III,en,respond when small fire starts night,"Alert everyone, evacuate along your plan, call 911/BFP, and only attempt a quick extinguisher use if trained and the exit is behind you. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'aftermath', 'emergency response', 'Region III']",2025-10-09T04:57:51.684706Z
BFP-00002,Emergency Response,Aftermath,Region III,en,what is the best way 2 respond when a small fire starts at night,"Alert everyone, evacuate along your plan, call 911/BFP, and only attempt a quick extinguisher use if trained and the exit is behind you. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'aftermath', 'emergency response', 'Region III']",2025-10-09T04:57:51.684706Z
BFP-00002,Emergency Response,Aftermath,Region III,en,how respond when a small fire starts at night pls,"Alert everyone, evacuate along your plan, call 911/BFP, and only attempt a quick extinguisher use if trained and the exit is behind you. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'aftermath', 'emergency response', 'Region III']",2025-10-09T04:57:51.684706Z
BFP-00003,Community & BFP,Permits,Region I,en,How do I get a fire safety inspection certificate?,"Prepare building plans, extinguisher records, and electrical clearances, then apply at the BFP office. Schedule inspection and address any noted findings. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'permits', 'community & bfp', 'Region I']",2025-10-09T04:57:51.684711Z
BFP-00003,Community & BFP,Permits,Region I,en,Help get a fire safety inspection certificate pls help!,"Prepare building plans, extinguisher records, and electrical clearances, then apply at the BFP office. Schedule inspection and address any noted findings. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'permits', 'community & bfp', 'Region I']",2025-10-09T04:57:51.684711Z
BFP-00003,Community & BFP,Permits,Region I,en,get fire safety inspection certificate,"Prepare building plans, extinguisher records, and electrical clearances, then apply at the BFP office. Schedule inspection and address any noted findings. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'permits', 'community & bfp', 'Region I']",2025-10-09T04:57:51.684711Z
BFP-00003,Community & BFP,Permits,Region I,en,how do i get a fire safety inspect cert,"Prepare building plans, extinguisher records, and electrical clearances, then apply at the BFP office. Schedule inspection and address any noted findings. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'permits', 'community & bfp', 'Region I']",2025-10-09T04:57:51.684711Z
BFP-00003,Community & BFP,Permits,Region I,en,how get a fire safety inspection certificate pls,"Prepare building plans, extinguisher records, and electrical clearances, then apply at the BFP office. Schedule inspection and address any noted findings. Check smoke alarms monthly and replace batteries yearly.",BFP public education best practices,"['fire safety', 'permits', 'community & bfp', 'Region I']",2025-10-09T04:57:51.684711Z
BFP-00004,First Aid,Burns,NCR,en,What is the best way to treat a minor burn safely?,"Cool under running water for 20 minutes, remove tight items, cover with a clean non-stick dressing, and seek care if blistered or large. Do not apply butter or toothpaste. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'burns', 'first aid', 'NCR']",2025-10-09T04:57:51.684715Z
BFP-00004,First Aid,Burns,NCR,en,ASAP: treat a minor burn safely right now,"Cool under running water for 20 minutes, remove tight items, cover with a clean non-stick dressing, and seek care if blistered or large. Do not apply butter or toothpaste. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'burns', 'first aid', 'NCR']",2025-10-09T04:57:51.684715Z
BFP-00004,First Aid,Burns,NCR,en,treat minor burn safely,"Cool under running water for 20 minutes, remove tight items, cover with a clean non-stick dressing, and seek care if blistered or large. Do not apply butter or toothpaste. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'burns', 'first aid', 'NCR']",2025-10-09T04:57:51.684715Z
BFP-00004,First Aid,Burns,NCR,en,what is the best way 2 treat a minor burn safely,"Cool under running water for 20 minutes, remove tight items, cover with a clean non-stick dressing, and seek care if blistered or large. Do not apply butter or toothpaste. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'burns', 'first aid', 'NCR']",2025-10-09T04:57:51.684715Z
BFP-00004,First Aid,Burns,NCR,en,how treat a minor burn safely pls,"Cool under running water for 20 minutes, remove tight items, cover with a clean non-stick dressing, and seek care if blistered or large. Do not apply butter or toothpaste. Never use water on grease or electrical fires.",BFP public education best practices,"['fire safety', 'burns', 'first aid', 'NCR']",2025-10-09T04:57:51.684715Z
BFP-00005,School Safety,Teachers,Region VI,en,Why does teach students about fire safety?,"Use age-appropriate activities, practice evacuation, assign marshals, and brief on stop, drop, and roll. Coordinate drills with the local fire station. Teach children stop, drop, and roll and how to call for help.",BFP public education best practices,"['fire safety', 'teachers', 'school safety', 'Region VI']",2025-10-09T04:57:51.684720Z
BFP-00005,School Safety,Teachers,Region VI,en,Emergency! why does teach students about fire safety pls help!,"Use age-appropriate activities, practice evacuation, assign marshals, and brief on stop, drop, and roll. Coordinate drills with the local fire station. Teach children stop, drop, and roll and how to call for help.",BFP public education best practices,"['fire safety', 'teachers', 'school safety', 'Region VI']",2025-10-09T04:57:51.684720Z
BFP-00005,School Safety,Teachers,Region VI,en,why does teach students about fire safety,"Use age-appropriate activities, practice evacuation, assign marshals, and brief on stop, drop, and roll. Coordinate drills with the local fire station. Teach children stop, drop, and roll and how to call for help.",BFP public education best practices,"['fire safety', 'teachers', 'school safety', 'Region VI']",2025-10-09T04:57:51.684720Z
BFP-00005,School Safety,Teachers,Region VI,en,why does teach students about fire safety,"Use age-appropriate activities, practice evacuation, assign marshals, and brief on stop, drop, and roll. Coordinate drills with the local fire station. Teach children stop, drop, and roll and how to call for help.",BFP public education best practices,"['fire safety', 'teachers', 'school safety', 'Region VI']",2025-10-09T04:57:51.684720Z
BFP-00005,School Safety,Teachers,Region VI,en,why does teach students about fire safety pls,"Use age-appropriate activities, practice evacuation, assign marshals, and brief on stop, drop, and roll. Coordinate drills with the local fire station. Teach children stop, drop, and roll and how to call for help.",BFP public education best practices,"['fire safety', 'teachers', 'school safety', 'Region VI']",2025-10-09T04:57:51.684720Z
BFP-00006,Electrical Safety,Wiring,Region IV-B,en,Who should I call when know if my outlet is overloaded?,"Warm plates, tripping breakers, and buzzing sounds suggest overload. Move devices to separate circuits and consult a licensed electrician. Crawl low under smoke and close doors behind you.",BFP public education best practices,"['fire safety', 'wiring', 'electrical safety', 'Region IV-B']",2025-10-09T04:57:51.684725Z
